medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
F6A8804606D1794D23004174E2919E06,B8D56A6C7086204B6C03C73C5D03BF58,CMT,1,Y,2013-01-06 04:03:08,2013-01-06 04:40:10,1,2221,16.00,-73.989365,40.723152,-73.844337,40.843102
F6A8804606D1794D23004174E2919E06,B8D56A6C7086204B6C03C73C5D03BF58,CMT,1,N,2013-01-05 20:09:05,2013-01-05 20:39:39,2,1833,19.60,-73.782097,40.644615,-73.923744,40.835499
F603D179CACCD05BB9DFED00C077256E,ED4D0063B57040B51432B89A7AD90180,CMT,1,N,2013-01-10 12:15:27,2013-01-10 12:19:57,1,270,.50,-73.954704,40.773979,-73.962074,40.773632
ED1D8A0F78C8A4C0FB8295C774DB9D5B,D851A9BA0F06B50A5CBE6100933D2BD0,CMT,1,N,2013-01-10 12:16:17,2013-01-10 12:40:43,1,1465,2.40,-73.991928,40.740059,-73.983635,40.765465
60CD2CAE8AF2CA0E7A9CE5895EF6FC5D,CDEE1D89036C514DD92715FA4F6FE03C,CMT,1,N,2013-01-05 17:20:23,2013-01-05 17:49:01,2,1717,3.60,-73.973701,40.763805,-73.996918,40.718037
2FD34773ECCE76E331A8158107BA3BE4,702CC5154287B4211705B6C03203B64C,CMT,1,N,2013-01-08 18:56:16,2013-01-08 18:58:34,1,137,.70,-73.968376,40.767952,-73.961235,40.775887
9B498587E3373F3E55976C5F56D3D7A3,56F11D4FCC140250D38369F2A8C65EEB,CMT,1,N,2013-01-07 20:35:35,2013-01-07 20:39:51,1,256,.60,-73.959267,40.771156,-73.951027,40.77187
9B498587E3373F3E55976C5F56D3D7A3,56F11D4FCC140250D38369F2A8C65EEB,CMT,1,N,2013-01-07 19:19:37,2013-01-07 19:35:39,1,961,3.30,-74.006599,40.706532,-74.003899,40.742004
96B76B1D309ABA3A99EF3D6D8079A34C,4E4EF5EC9FF3A401CD1CDA8D69382B8E,CMT,1,N,2013-01-07 23:25:00,2013-01-07 23:27:56,1,175,.60,-74.000404,40.726364,-73.999184,40.734116
96B76B1D309ABA3A99EF3D6D8079A34C,4E4EF5EC9FF3A401CD1CDA8D69382B8E,CMT,1,N,2013-01-08 00:06:58,2013-01-08 00:12:21,1,323,1.20,-74.005264,40.728676,-73.991913,40.735332
